goal,dimension,region_id,score
BD,future,0,60.32
BD,future,1,60.32
BD,pressures,1,
BD,resilience,1,
BD,score,0,55.95
BD,score,1,55.95
BD,status,0,51.57
BD,status,1,51.57
BD,trend,1,-0.03
CP,future,0,12.67
CP,future,1,12.67
CP,pressures,1,31.3
CP,resilience,1,71.14
CP,score,0,12.03
CP,score,1,12.03
CP,status,0,11.4
CP,status,1,11.4
CP,trend,1,-0.03
CS,future,0,42.44
CS,future,1,42.44
CS,pressures,1,13.51
CS,resilience,1,76.12
CS,score,0,39.55
CS,score,1,39.55
CS,status,0,36.66
CS,status,1,36.66
CS,trend,1,-0.07
CW,future,0,73.8
CW,future,1,73.8
CW,pressures,1,22.22
CW,resilience,1,64.72
CW,score,0,57.29
CW,score,1,57.29
CW,status,0,40.77
CW,status,1,40.77
CW,trend,1,1
HAB,future,0,45.93
HAB,future,1,45.93
HAB,pressures,1,22.41
HAB,resilience,1,73.63
HAB,score,0,43.2
HAB,score,1,43.2
HAB,status,0,40.48
HAB,status,1,40.48
HAB,trend,1,-0.05
HS,future,0,27.55
HS,future,1,27.55
HS,pressures,1,
HS,resilience,1,
HS,score,0,25.79
HS,score,1,25.79
HS,status,0,24.03
HS,status,1,24.03
HS,trend,1,-0.05
ICO,future,0,99.85
ICO,future,1,99.85
ICO,pressures,1,23.54
ICO,resilience,1,71.14
ICO,score,0,93.4
ICO,score,1,93.4
ICO,status,0,86.96
ICO,status,1,86.96
ICO,trend,1,-0.01
Index,future,0,72.32
Index,future,1,72.32
Index,score,0,67.14
Index,score,1,67.14
LSP,future,0,100
LSP,future,1,100
LSP,pressures,1,23.45
LSP,resilience,1,71.97
LSP,score,0,100
LSP,score,1,100
LSP,status,0,100
LSP,status,1,100
LSP,trend,1,0
RAO,future,0,NaN
RAO,future,1,
RAO,pressures,1,14.34
RAO,resilience,1,74.04
RAO,score,0,NaN
RAO,score,1,
RAO,status,0,NaN
RAO,status,1,
RAO,trend,1,
RS,future,0,100
RS,future,1,100
RS,pressures,1,8.33
RS,resilience,1,81.33
RS,score,0,100
RS,score,1,100
RS,status,0,100
RS,status,1,100
RS,trend,1,0.87
SP,future,0,99.92
SP,future,1,99.92
SP,pressures,1,
SP,resilience,1,
SP,score,0,96.7
SP,score,1,96.7
SP,status,0,93.48
SP,status,1,93.48
SP,trend,1,-0.01
SPP,future,0,74.72
SPP,future,1,74.72
SPP,pressures,1,19.36
SPP,resilience,1,77.56
SPP,score,0,68.69
SPP,score,1,68.69
SPP,status,0,62.66
SPP,status,1,62.66
SPP,trend,1,0
TR,future,0,NaN
TR,future,1,
TR,pressures,1,15.28
TR,resilience,1,70.41
TR,score,0,NaN
TR,score,1,
TR,status,0,NaN
TR,status,1,
TR,trend,1,
